Year,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,UAE,Kuwait,SaudiArabia,Oman,Yemen,Lebanon,Turkey
1988,299,4700,5747,NaN,14255,1124,NaN,3801,23343,2628,NaN,259,7938
1989,310,3789,4251,NaN,11488,894,NaN,4719,22058,2638,NaN,NaN,9185
1990,337,3731,3774,NaN,12306,749,NaN,18207,27720,2964,2404,825,11098
1991,368,3755,3403,NaN,16906,954,NaN,23728,26435,2456,2252,786,11409
1992,391,3680,2953,NaN,12774,777,NaN,12027,24846,2941,2212,1400,12000
1993,382,3572,3458,NaN,14125,816,NaN,5819,26332,2760,1914,1167,13267
1994,386,3746,4268,NaN,13272,829,NaN,6174,22728,2933,1964,1464,12971
1995,400,3687,4187,NaN,12314,597,NaN,6771,20035,2954,1475,1500,13326
1996,427,3733,4617,NaN,12612,790,NaN,5758,20002,2791,1342,1316,14919
1997,416,3821,5150,NaN,12657,815,6541,4387,27164,2888,1722,1103,15544
1998,428,3847,5154,NaN,12490,884,7713,4093,31375,2558,1654,1063,16287
1999,479,3860,5213,NaN,12229,906,7974,3977,27929,2588,1793,1261,17983
2000,476,4126,5739,NaN,12962,931,10921,4644,30782,3082,2133,1419,17404
2001,499,4980,6389,NaN,13453,914,10483,4564,32784,3585,2267,1468,15955
2002,599,5622,6877,NaN,15045,885,9406,4709,28781,3691,2871,1365,16976
2003,685,5745,8026,NaN,15406,1021,9940,5075,28993,3883,2963,1372,15321
2004,690,5435,10372,2118,15647,947,11056,5463,32232,4366,2416,1395,13982
2005,649,5425,12334,2858,15178,942,10086,5287,38838,5263,2484,1417,13237
2006,711,5551,14515,2052,15611,1030,10013,5226,44243,5627,2324,1407,14203
2007,771,5590,13362,3140,15011,1439,10640,5551,50962,5701,2778,1544,13656
2008,834,5206,12840,4151,14729,1648,12963,5111,50018,5428,2670,1415,13809
2009,934,5053,13441,3957,15495,1917,15262,4969,51398,5079,3055,1705,14777
2010,932,5051,13671,4459,14942,1813,19141,4878,53494,5365,3032,1823,14478
2011,1147,4906,12353,4805,14593,1782,20793,5570,54222,7022,2749,1781,14619
2012,1277,4773,12851,4369,14827,1575,20486,6031,61352,12623,2519,1806,14939
2013,1409,4734,10151,8056,15654,1474,25094,5705,70313,11814,2317,1898,15310
2014,1502,5164,10067,7012,16565,1535,23681,5694,82527,10958,2230,2185,15397
2015,1442,5475,10589,9604,16764,1616,NaN,5503,87186,10045,NaN,2239,15881
2016,1386,5357,12383,6188,17800,1766,NaN,6370,61358,9080,NaN,NaN,14974
,,,,,,,,,,,,,